# Rime user dictionary
#@/db_name	terra_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.4.0
#@/tick	1876
#@/user_id	b27ec516-66b5-4d3a-8381-90fbb5a546e0
a1 	啊	c=1 d=1.16141 t=1786
chong2 zhuang1 hao3 	重裝好	c=1 d=1 t=1093
chu1 cheng2 	出城	c=0 d=0.1 t=1062
chu1 de5 	出的	c=0 d=0.1 t=1689
chu1 lai2 	出來	c=0 d=0.1 t=1095
chu1 men2 	出門	c=0 d=0.1 t=521
chu2 shi1 ji1 	除溼機	c=2 d=1.99501 t=408
chu3 li3 	處理	c=0 d=0.1 t=509
chu3 li3 zhe4 jian4 shi4 	處理這件事	c=1 d=1 t=510
chuan2 	傳	c=0 d=0.197022 t=1804
chuan2 gei3 wo3 zhe4 ge5 xi4 lie4 	傳給我這個系列	c=1 d=1 t=1805
chuan2 shen2 	傳神	c=0 d=0.1 t=1134
chuan2 shen2 ma5 	傳神嗎	c=1 d=1 t=1135
chuan2 xun4 xi2 gei3 ni3 	傳訊息給你	c=1 d=1 t=1203
chun1 jiu3 	春酒	c=1 d=1 t=88
chuo1 zhong4 	戳重	c=1 d=1 t=1754
cong2 	從	c=7 d=1.0752 t=1612
cuo4 le5 	錯了	c=0 d=0.1 t=386
da1 	搭	c=1 d=0.286374 t=1692
da1 pei4 	搭配	c=0 d=0.1 t=1749
da1 pei4 shang4 	搭配上	c=1 d=1 t=1750
da1 ying4 	答應	c=0 d=0.1 t=1415
da3 	打	c=1 d=0.119538 t=1586
da3 dian4 hua4 	打電話	c=0 d=0.191393 t=63
da3 guo4 qu4 	打過去	c=0 d=0.1 t=1787
da3 zhong1 wen2 	打中文	c=1 d=1 t=517
da4 	大	c=0 d=0.100033 t=1676
da4 an1 	大安	c=0 d=0.1 t=1027
da4 an1 le5 	大安了	c=1 d=1 t=1028
da4 er4 	大二	c=1 d=1 t=935
da4 gai4 	大概	c=0 d=0.183527 t=615
da4 gai4 shi4 	大概是	c=0 d=0.1 t=1076
da4 gai4 shi4 zhe4 yang4 	大概是這樣	c=1 d=1 t=1077
da4 huai4 huai4 	大壞壞	c=1 d=1 t=71
da4 nai3 	大奶	c=1 d=1 t=685
da4 ping2 lin2 	大坪林	c=1 d=1 t=1677
da4 shu4 	大樹	c=0 d=0.1 t=1001
da4 shu4 ju4 	大樹據	c=1 d=1 t=1002
da4 xue2 	大學	c=1 d=0.591644 t=522
dai4 	帶	c=0 d=0.173345 t=780
dai4 shu4 zhi2 jin4 qu4 zhi1 hou4 	帶數值進去之後	c=1 d=1 t=781
dai4 ta1 men5 qu4 na2 	帶他們去拿	c=1 d=1 t=719
dai4 wo3 	帶我	c=0 d=0.117996 t=785
dan1 xin1 	擔心	c=0 d=0.1 t=959
dan1 xin1 ta1 	擔心她	c=1 d=1 t=960
dan4 shi4 	但是	c=12 d=2.08956 t=1831
dan4 shi4 jiu4 shi4 	但是就是	c=1 d=1 t=193
dang1 	當	c=0 d=0.15402 t=546
dang1 bing1 	當兵	c=0 d=0.233664 t=1802
dang1 bing1 le5 	當兵了	c=1 d=1 t=1772
dang1 chu1 	當初	c=0 d=0.1 t=820
dang1 le5 	當了	c=0 d=0.1 t=180
dang1 tian1 wo3 ge4 ren2 shi4 bu4 ke3 neng2 can1 jia1 de5 	當天我個人是不可能參加的	c=1 d=1 t=547
dang3 	檔	c=2 d=1.95123 t=1076
dao3 di4 	倒地	c=1 d=1 t=1766
dao4 	倒	c=0 d=0.1 t=1260
dao4 	到	c=5 d=0.40061 t=1680
dao4 da2 	到達	c=5 d=4.84855 t=338
dao4 di3 	到底	c=2 d=0.848096 t=1876
dao4 di3 fa1 sheng1 shen2 me5 shi4 le5 	到底發生甚麼事了	c=1 d=1 t=1460
dao4 di3 wei4 shen2 me5 	到底爲什麼	c=1 d=0.217139 t=1449
dao4 di3 wei4 shen2 me5 bu4 xing2 	到底爲什麼不行	c=1 d=1 t=1450
dao4 di3 wei4 shen2 me5 ke3 yi3 	到底爲什麼可以	c=1 d=1 t=1448
dao4 ni3 	到你	c=0 d=0.1 t=23
dao4 san1 xia2 de5 lu4 shang4 hai2 hao3 	到三峽的路上還好	c=1 d=1 t=1100
dao4 shi2 hou4 	到時候	c=0 d=0.1 t=1712
dao4 xian4 zai4 	到現在	c=1 d=1 t=1308
dao4 zhe4 ge5 di4 dian3 	到這個地點	c=1 d=1 t=1681
de2 	得	c=0 d=0.1 t=473
de2 dao4 	得到	c=0 d=0.1 t=124
de2 dao4 de5 	得到的	c=1 d=1 t=125
de5 	的	c=25 d=7.12194 t=1859
de5 ban1 ci4 	的班次	c=1 d=1.09501 t=1693
de5 gai4 nian4 	的概念	c=1 d=0.881132 t=605
de5 gong1 lao2 	的功勞	c=1 d=1 t=1636
de5 guan1 xi4 	的關係	c=1 d=1 t=1296
de5 hen3 hao3 	得很好	c=0 d=0.1 t=170
de5 hua4 	的話	c=0 d=0.240312 t=1801
de5 jiang3 yi4 ke3 yi3 na2 	的講義可以拿	c=1 d=1 t=710
de5 jiao4 cai2 	的教材	c=1 d=1 t=1778
de5 ke4 	的課	c=2 d=0.199504 t=1731
de5 lian3 	的臉	c=0 d=0.199501 t=1156
de5 liang4 	地量	c=0 d=0.1 t=1299
de5 qian2 	的錢	c=1 d=1 t=1867
de5 qing1 dan1 	的清單	c=1 d=1 t=1132
de5 ren2 	的人	c=1 d=0.952144 t=912
de5 sheng1 huo2 	的生活	c=1 d=1 t=183
de5 shi2 hou4 	的時候	c=1 d=0.205226 t=1734
de5 shi4 	的事	c=0 d=0.1 t=711
de5 tong2 xue2 ma5 	的同學嗎	c=1 d=1 t=1331
de5 tu2 	的圖	c=1 d=1 t=634
de5 wen4 ti2 	的問題	c=2 d=1.05208 t=1464
de5 xiang3 fa3 	的想法	c=1 d=1.09005 t=157
de5 xiang3 fa3 chao1 duo1 	的想法超多	c=1 d=1 t=158
de5 xing4 qu4 	的興趣	c=1 d=1 t=850
de5 xue2 sheng1 	的學生	c=1 d=1 t=129
de5 ying2 mu4 	的螢幕	c=1 d=1 t=1521
de5 zhe4 ge5 zhen1 xiang4 	的這個真相	c=1 d=1 t=1747
dei3 	得	c=0 d=0.0970446 t=1876
dei3 zuo4 de5 shi4 qing2 shang4 	得做的事情上	c=1 d=0.97531 t=1876
deng3 	等	c=1 d=1.08521 t=793
deng3 dang1 bing1 	等當兵	c=1 d=1 t=762
deng3 ni3 	等你	c=0 d=0.1 t=202
deng3 ni3 hui2 jia1 	等你回家	c=1 d=1 t=203
di2 que4 	的確	c=0 d=0.1 t=282
di3 da2 	抵達	c=1 d=1.01678 t=972
di4 di5 	弟弟	c=1 d=1 t=668
di4 dian3 	地點	c=0 d=0.1 t=1680
di4 er4 	第二	c=0 d=0.100362 t=1149
di4 er4 ge4 	第二個	c=1 d=1 t=1112
di4 er4 zhi1 	第二隻	c=1 d=1 t=26
di4 fang1 	地方	c=0 d=0.1 t=519
di4 liu4 	第六	c=0 d=0.1 t=1571
di4 liu4 bu4 	第六部	c=1 d=1 t=1572
di4 san1 	第三	c=0 d=0.1 t=1113
di4 san1 ge5 lian2 jie2 	第三個連結	c=1 d=1 t=1114
di4 wu3 	第五	c=0 d=0.1 t=532
di4 wu3 bu4 	第五部	c=1 d=1 t=533
di4 yi1 ci4 	第一次	c=0 d=0.1 t=165
di4 yi1 ci4 yu4 dao4 	第一次遇到	c=1 d=1 t=166
di4 yi1 ge5 	第一個	c=0 d=0.177105 t=1158
di4 yi1 ge5 lian2 jie2 	第一個連結	c=1 d=1 t=1107
di4 yi1 ge5 zi1 gong1 de5 tong2 xue2 	第一個資工的同學	c=1 d=1 t=1159
dian3 	點	c=0 d=0.1 t=1755
dian3 zai4 	點在	c=1 d=1.09753 t=280
dian4 chi2 	電池	c=3 d=2.31935 t=1839
dian4 hua4 	電話	c=0 d=0.1 t=955
dian4 nao3 	電腦	c=1 d=0.819068 t=1510
dian4 nao3 fa1 chu1 sheng1 yin1 	電腦發出聲音	c=1 d=1 t=70
dian4 nao3 shang1 	電腦商	c=1 d=1 t=1511
diao4 	掉	c=1 d=1 t=1089
ding4 yao4 	定要	c=0 d=0.1 t=1472
ding4 zhi4 	定製	c=1 d=0.99005 t=1876
dong1 xi1 	東西	c=1 d=1.10943 t=1498
dong1 xi1 yi3 jing1 mai4 le5 	東西已經賣了	c=1 d=1 t=583
dong1 xi1 you3 xing4 qu4 	東西有興趣	c=1 d=1 t=910
dou1 	都	c=2 d=0.262911 t=1580
dou1 bi3 	都比	c=0 d=0.1 t=264
dou1 bi3 jiao4 zhuo2 zhong4 zai4 	都比叫着重在	c=1 d=1 t=265
dou1 bu4 	都不	c=0 d=0.1 t=896
dou1 dui4 	都對	c=1 d=1 t=152
dou1 hai2 mei2 	都還沒	c=0 d=0.150916 t=1231
dou1 hen3 	都很	c=0 d=0.108294 t=1740
dou1 hen3 qian4 zou4 	都很欠揍	c=1 d=1 t=1149
dou1 hen3 shen2 qi2 de5 	都很神奇的	c=1 d=1 t=1047
dou1 hui4 zai4 	都會在	c=1 d=1 t=292
dou1 ke3 yi3 	都可以	c=1 d=1.00599 t=1020
dou1 mei2 you3 	都沒有	c=1 d=0.738489 t=1732
dou1 mei2 you3 han4 wo3 shuo1 	都沒有和我說	c=1 d=1 t=448
dou1 mei2 you3 xiang3 guo4 	都沒有想過	c=1 d=1 t=1030
dou1 nong4 de5 cha1 bu4 duo1 le5 	都弄得差不多了	c=1 d=1 t=53
dou1 shi4 	都是	c=0 d=0.102612 t=1035
dou1 shi4 yong4 	都是用	c=1 d=1 t=1036
dou1 xu1 yao4 	都需要	c=1 d=1 t=504
dou1 yi3 jing1 gong1 shi4 hua4 le5 	都已經公式化了	c=1 d=1 t=175
dou1 you3 	都有	c=1 d=1 t=138
dou1 zhao3 	都找	c=0 d=0.1 t=23
dou1 zhao3 bu2 dao4 ni3 	都找不到你	c=1 d=1 t=24
dou1 zhua1 xia4 lai2 	都抓下來	c=1 d=1 t=1130
du2 li4 	獨立	c=0 d=0.1 t=1333
du2 li4 bian4 liang4 	獨立變量	c=1 d=1 t=1334
duan4 	段	c=0 d=0.1 t=31
dui4 	對	c=3 d=0.241069 t=1315
dui4 a1 	對啊	c=7 d=1.75371 t=1657
dui4 dui4 	對對	c=0 d=0.1 t=549
dui4 dui4 dui4 	對對對	c=1 d=1 t=550
dui4 xiang4 	對象	c=0 d=0.1 t=1152
dui4 zi1 gong1 ying1 gai1 ye3 you3 	對資工應該也有	c=1 d=1 t=1316
duo1 	多	c=0 d=0.108848 t=767
duo1 de5 	多的	c=0 d=0.1 t=191
duo1 jiu3 	多久	c=2 d=1.22977 t=596
duo1 jiu3 ke3 yi3 	多久可以	c=1 d=1 t=597
duo1 le5 	多了	c=0 d=0.1 t=52
duo1 shao3 	多少	c=0 d=0.121225 t=1848
duo1 xue2 dian3 dong1 xi1 	多學點東西	c=1 d=1 t=768
duo1 yuan2 	多元	c=0 d=0.1 t=1322
e2 luo2 si1 fang1 kuai4 	俄羅斯方塊	c=1 d=1 t=1558
ei1 	欸	c=7 d=1.45642 t=1224
ei1 	誒	c=1 d=1 t=95
ei1 ei1 	欸欸	c=1 d=1 t=860
en1 en1 	嗯嗯	c=3 d=0.913931 t=1876
eng5 	嗯	c=0 d=0.1 t=923
er2 	而	c=0 d=0.1 t=269
er2 bu2 shi4 	而不是	c=1 d=1 t=270
er2 qie3 	而且	c=1 d=1.02554 t=1767
er2 qie3 mei2 you3 ban4 fa3 	而且沒有辦法	c=1 d=1 t=1495
er2 shi4 	而是	c=1 d=1 t=1872
er4 	二	c=1 d=1 t=709
er4 shou3 	二手	c=3 d=2.4431 t=1515
er4 shou3 bi3 dian4 	二手筆電	c=1 d=1 t=1516
er4 xia4 	二下	c=0 d=0.1 t=1728
er4 xia4 de5 ke4 	二下的課	c=1 d=1 t=1729
fa1 	發	c=1 d=0.179262 t=1689
fa1 che1 	發車	c=1 d=1.09005 t=1693
fa1 che1 de5 ban1 ci4 	發車的班次	c=1 d=1 t=1694
fa1 chu1 	發出	c=0 d=0.1 t=69
fa1 chu1 de5 	發出的	c=1 d=1 t=1690
fa1 jue2 	發覺	c=1 d=1 t=1167
fa1 sheng1 	發生	c=0 d=0.100694 t=1459
fa1 xian4 	發現	c=2 d=1.58694 t=1866
fan1 	翻	c=1 d=1 t=1565
fan2 	煩	c=1 d=1 t=1762
fan3 zheng4 	反正	c=0 d=0.1 t=1653
fan3 zheng4 wo3 zhi1 hou4 jiu4 yao4 qu4 bang1 dang1 bing1 le5 	反正我知後就要去幫當兵了	c=1 d=1 t=1654
fan4 	泛	c=1 d=1 t=1789
fan4 mai4 	販賣	c=0 d=0.1 t=1815
fan4 mai4 de5 	販賣的	c=1 d=1 t=1816
fang4 	放	c=1 d=1 t=29
fang4 song1 	放鬆	c=1 d=1 t=1141
fei4 de5 	廢地	c=0 d=0.1 t=149
fen1 	分	c=0 d=0.1 t=1614
fen1 de5 hua4 	分的話	c=1 d=1 t=1615
fen1 xiang3 	分享	c=1 d=0.947269 t=270
fen4 	份	c=0 d=0.197045 t=1116
fu3 xi4 	輔系	c=1 d=1 t=609
fu4 	負	c=0 d=0.1 t=1717
fu4 	附	c=1 d=1 t=1829
fu4 mu3 	父母	c=0 d=0.1 t=891
fu4 mu3 yi1 zhi2 yao4 	父母一直要	c=1 d=1 t=892
fu4 shang4 	附上	c=0 d=0.1 t=1839
fu4 shang4 dian4 chi2 	附上電池	c=1 d=1 t=1840
gai1 	該	c=1 d=1 t=1382
gai3 cheng2 	改成	c=1 d=1 t=28
gai4 nian4 	概念	c=0 d=0.1 t=531
gan3 jue2 	感覺	c=1 d=0.102712 t=1649
gan3 xie4 	感謝	c=8 d=3.94497 t=1589
gan3 xie4 bao1 rong2 	感謝包容	c=1 d=1 t=375
gan3 xie4 ni3 	感謝你	c=1 d=1 t=1393
gan3 xie4 ni3 la5 	感謝你啦	c=1 d=1 t=957
gan3 xie4 nin2 	感謝您	c=1 d=1 t=444
gang1 	剛	c=0 d=0.1 t=99
gang1 gang1 	剛剛	c=2 d=1.12404 t=1804
gang1 gang1 bu2 shi4 da1 ying4 le5 	剛剛不是答應了	c=1 d=1 t=1416
gang1 gang1 bu4 zhi1 dao4 wei4 shen2 me5 	剛剛不知道爲什麼	c=1 d=1 t=1303
gang1 gang1 chuan2 gei3 ni3 de5 	剛剛傳給你的	c=1 d=1 t=1068
gang1 gang1 jing4 ran2 	剛剛竟然	c=1 d=1 t=55
gang1 gang1 wo3 jie3 	剛剛我姐	c=1 d=1 t=1791
gang1 hao3 	剛好	c=1 d=1 t=991
ge4 ren2 	個人	c=0 d=0.160351 t=647
ge4 wei4 shu4 	個位數	c=1 d=1 t=1671
ge4 zhong3 	各種	c=4 d=1.02337 t=1717
ge4 zi4 	各自	c=1 d=1 t=971
ge5 	個	c=0 d=0.274286 t=1629
gei3 	給	c=3 d=1.66475 t=1329
gei3 chu1 	給出	c=0 d=0.1 t=232
gei3 cuo4 le5 	給錯了	c=1 d=1 t=387
gei3 ni3 	給你	c=1 d=0.121526 t=1202
gei3 ni3 de5 	給你的	c=0 d=0.157407 t=1178
gei3 ta1 	給他	c=0 d=0.105749 t=1782
gei3 wo3 	給我	c=1 d=0.112671 t=1804
gen1 	根	c=1 d=1 t=1287
gen1 ju4 	根據	c=1 d=1 t=579
geng4 duo1 	更多	c=0 d=0.1 t=1850
gong1 che1 	公車	c=0 d=0.115412 t=991
gong1 che1 de5 hua4 	公車的話	c=1 d=1 t=618
gong1 cheng2 shi1 	工程師	c=2 d=1.59935 t=1713
gong1 fu1 	功夫	c=0 d=0.1 t=1795
gong1 fu1 ma5 	功夫嗎	c=1 d=1 t=1796
gong1 lao2 	功勞	c=0 d=0.1 t=1635
gong1 neng2 	功能	c=0 d=0.115032 t=1824
gong1 sheng1 	公升	c=1 d=1 t=409
gong1 shi4 hua4 	公式化	c=0 d=0.1 t=174
gong1 ying4 shang1 	供應商	c=0 d=0.1 t=559
gong1 zuo4 	工作	c=0 d=0.1 t=53
gong1 zuo4 zhong1 	工作中	c=1 d=1 t=54
gu3 	古	c=1 d=1 t=1325
guan1 	關	c=0 d=0.1956 t=66
guan1 jian4 	關鍵	c=1 d=1 t=488
guan1 xi4 	關係	c=1 d=0.1034 t=1295
guan1 xi4 le5 	關係了	c=1 d=1 t=139
guan3 	管	c=1 d=1 t=837
guang3 zhou1 zhong1 yi1 yao4 da4 xue2 	廣州中醫藥大學	c=2 d=1.94176 t=391
gui1 ding4 	規定	c=1 d=1 t=611
gui1 ge2 	規格	c=0 d=0.1 t=1516
gui1 ge2 che1 	規格車	c=1 d=1 t=1517
guo2 cai4 	國菜	c=0 d=0.1 t=422
guo4 	過	c=1 d=1.16703 t=1732
guo4 cheng2 	過程	c=0 d=0.1 t=827
guo4 lai2 	過來	c=0 d=0.191393 t=63
guo4 le5 	過了	c=0 d=0.187701 t=613
guo4 qu4 	過去	c=1 d=1.09327 t=1362
ha1 ha1 	哈哈	c=7 d=1.72166 t=1634
ha1 ha1 ha1 	哈哈哈	c=3 d=0.946485 t=1876
ha1 ha1 ha1 ha1 	哈哈哈哈	c=5 d=1.81314 t=1246
ha1 ha1 ha1 ha1 ha1 	哈哈哈哈哈	c=1 d=1 t=411
ha1 luo1 	哈囉	c=1 d=1 t=1336
hai2 	還	c=0 d=0.169123 t=1080
